epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.5040000081062317,0.6934224367141724,0.5022321343421936,0.5641925930976868,0.49399998784065247,0.6933718919754028,0.0,0.0
1,0.4871250092983246,0.6933869123458862,0.48574262857437134,0.49122366309165955,0.5059999823570251,0.6931057572364807,0.5059999823570251,1.0
2,0.4936249852180481,0.6932966709136963,0.4912133812904358,0.44157472252845764,0.49399998784065247,0.6931533217430115,0.0,0.0
3,0.49924999475479126,0.6932225823402405,0.49828505516052246,0.655717134475708,0.49399998784065247,0.6933430433273315,0.0,0.0
4,0.5016250014305115,0.6932455897331238,1.0,0.000250752258580178,0.49399998784065247,0.6934419870376587,0.0,0.0
5,0.5016250014305115,0.6931700110435486,1.0,0.000250752258580178,0.49399998784065247,0.6931676864624023,0.0,0.0
6,0.5040000081062317,0.6933853030204773,0.5021701455116272,0.5802407264709473,0.49399998784065247,0.6933166980743408,0.0,0.0
7,0.49825000762939453,0.6932424902915955,0.484375,0.1010531559586525,0.5059999823570251,0.693116307258606,0.5059999823570251,1.0
8,0.4882499873638153,0.6932209730148315,0.49037063121795654,0.6767803430557251,0.49399998784065247,0.6931561827659607,0.0,0.0
9,0.5016250014305115,0.6931917071342468,1.0,0.000250752258580178,0.49399998784065247,0.6932482719421387,0.0,0.0
